LONG,the_geom,LAT,Date_Imple
-73.9497531515,POINT (-73.94975315146617 40.632581023182695),40.6325810232,08/19/2016 12:00:00 AM +0000
-73.9508378827,POINT (-73.95083788269176 40.63235397587072),40.6323539759,08/19/2016 12:00:00 AM +0000
-73.915866464,POINT (-73.91586646404161 40.84479395647801),40.8447939565,06/30/2016 12:00:00 AM +0000
-73.9624805758,POINT (-73.96248057581217 40.63593312848627),40.6359331285,09/13/2016 12:00:00 AM +0000
-73.9606808539,POINT (-73.96068085394265 40.63680195121438),40.6368019512,09/13/2016 12:00:00 AM +0000
-73.9633486521,POINT (-73.96334865212518 40.635518098089925),40.6355180981,09/13/2016 12:00:00 AM +0000
-73.9232314309,POINT (-73.92323143092335 40.838159295569675),40.8381592956,08/11/2016 12:00:00 AM +0000
-73.9648904988,POINT (-73.96489049884576 40.80843515148707),40.8084351515,08/01/2016 12:00:00 AM +0000
-73.8311466394,POINT (-73.8311466394009 40.89050042298375),40.890500423,09/27/2016 12:00:00 AM +0000
-73.8854877428,POINT (-73.88548774276012 40.745792257690674),40.7457922577,10/26/2016 12:00:00 AM +0000
-73.9328647887,POINT (-73.93286478866753 40.801455819426685),40.8014558194,10/06/2016 12:00:00 AM +0000
-73.913284368,POINT (-73.91328436803782 40.859618621455354),40.8596186215,08/27/2016 12:00:00 AM +0000
-73.8969755388,POINT (-73.89697553876123 40.66113528099566),40.661135281,12/16/2016 12:00:00 AM +0000
-73.8977467986,POINT (-73.89774679864479 40.664156527732786),40.6641565277,12/16/2016 12:00:00 AM +0000
-73.899262033,POINT (-73.89926203296936 40.670073653583074),40.6700736536,12/16/2016 12:00:00 AM +0000
-73.899911179,POINT (-73.89991117897542 40.672608244817255),40.6726082448,12/16/2016 12:00:00 AM +0000
-73.9545122834,POINT (-73.95451228336655 40.810686630771414),40.8106866308,12/19/2016 12:00:00 AM +0000
-73.9013364488,POINT (-73.90133644879266 40.86927247868548),40.8692724787,12/28/2016 12:00:00 AM +0000
-73.902126087,POINT (-73.90212608701809 40.86940890888606),40.8694089089,12/28/2016 12:00:00 AM +0000
-73.9734622195,POINT (-73.97346221945035 40.797887892376465),40.7978878924,12/21/2016 12:00:00 AM +0000
-73.9638059743,POINT (-73.96380597431568 40.795463255543154),40.7954632555,01/14/2017 12:00:00 AM +0000
-73.8092914699,POINT (-73.80929146986324 40.76985474760146),40.7698547476,04/26/2017 12:00:00 AM +0000
-73.8074247133,POINT (-73.80742471329272 40.769706974639206),40.7697069746,04/26/2017 12:00:00 AM +0000
-73.8055645588,POINT (-73.8055645588325 40.76956040184105),40.7695604018,04/26/2017 12:00:00 AM +0000
-73.8621623729,POINT (-73.8621623728785 40.73343746800773),40.733437468,05/02/2017 12:00:00 AM +0000
-73.982752311,POINT (-73.98275231102608 40.733922951292165),40.7339229513,05/19/2017 12:00:00 AM +0000
-73.9836459688,POINT (-73.98364596880614 40.73269872294301),40.7326987229,05/19/2017 12:00:00 AM +0000
-73.9843465202,POINT (-73.9843465201782 40.734597794586065),40.7345977946,05/19/2017 12:00:00 AM +0000
-73.9870887944,POINT (-73.98708879442817 40.77915291971103),40.7791529197,07/24/2017 12:00:00 AM +0000
-73.8998350817,POINT (-73.8998350816871 40.65211697228762),40.6521169723,08/02/2017 12:00:00 AM +0000
-73.9697429652,POINT (-73.9697429651736 40.62182142416377),40.6218214242,08/24/2017 12:00:00 AM +0000
-73.9877192452,POINT (-73.9877192452457 40.625070854875304),40.6250708549,08/23/2017 12:00:00 AM +0000
-73.9789115063,POINT (-73.97891150625914 40.61975529145976),40.6197552915,08/23/2017 12:00:00 AM +0000
-73.9794948585,POINT (-73.9794948584554 40.61919497605339),40.6191949761,08/23/2017 12:00:00 AM +0000
-73.9637503117,POINT (-73.96375031169778 40.689947953186454),40.6899479532,08/17/2017 12:00:00 AM +0000
-73.9618991032,POINT (-73.96189910318809 40.69230069779896),40.6923006978,08/17/2017 12:00:00 AM +0000
-73.9637517559,POINT (-73.9637517558947 40.69208984677491),40.6920898468,08/17/2017 12:00:00 AM +0000
-73.9779858288,POINT (-73.97798582877915 40.6942563287492),40.6942563287,08/17/2017 12:00:00 AM +0000
-73.9675312164,POINT (-73.96753121639175 40.691643798359266),40.6916437984,08/17/2017 12:00:00 AM +0000
-73.782130879,POINT (-73.78213087895776 40.73988946154802),40.7398894615,08/25/2017 12:00:00 AM +0000
-73.780063434,POINT (-73.7800634339731 40.739508837662456),40.7395088377,08/25/2017 12:00:00 AM +0000
-73.9276082343,POINT (-73.9276082342747 40.595051381534645),40.5950513815,11/30/2016 12:00:00 AM +0000
-73.926522682,POINT (-73.92652268195378 40.59410711998592),40.59410712,11/30/2016 12:00:00 AM +0000
-73.9254554198,POINT (-73.925455419751 40.59315677690925),40.5931567769,11/30/2016 12:00:00 AM +0000
-73.9240389411,POINT (-73.92403894110582 40.59187968175635),40.5918796818,11/30/2016 12:00:00 AM +0000
-73.9295646028,POINT (-73.92956460283075 40.59682278043017),40.5968227804,11/30/2016 12:00:00 AM +0000
-73.9233057208,POINT (-73.92330572084452 40.59121990356418),40.5912199036,11/30/2016 12:00:00 AM +0000
-73.9222918792,POINT (-73.9222918791727 40.59031619553066),40.5903161955,11/30/2016 12:00:00 AM +0000
-73.9197297703,POINT (-73.91972977030571 40.587981550479995),40.5879815505,11/30/2016 12:00:00 AM +0000
-73.9192491525,POINT (-73.91924915247564 40.871011299490945),40.8710112995,08/30/2017 12:00:00 AM +0000
-73.9050878605,POINT (-73.90508786054593 40.9070143548911),40.9070143549,09/29/2017 12:00:00 AM +0000
-74.0778612583,POINT (-74.07786125833121 40.63097444824656),40.6309744482,09/09/2017 12:00:00 AM +0000
-73.9807126325,POINT (-73.98071263246355 40.71220837527004),40.7122083753,07/05/2017 12:00:00 AM +0000
-73.9832926326,POINT (-73.98329263258096 40.711343504883175),40.7113435049,07/05/2017 12:00:00 AM +0000
-73.9839136646,POINT (-73.9839136646266 40.71130335851925),40.7113033585,07/05/2017 12:00:00 AM +0000
-73.8978105669,POINT (-73.89781056689763 40.81957775429139),40.8195777543,10/16/2015 12:00:00 AM +0000
-73.9991085084,POINT (-73.99910850838447 40.731626836074554),40.7316268361,05/29/2015 12:00:00 AM +0000
-73.8229704661,POINT (-73.82297046612088 40.796213419081674),40.7962134191,08/19/2016 12:00:00 AM +0000
-73.8886145999,POINT (-73.88861459989077 40.69954146923772),40.6995414692,10/31/2017 12:00:00 AM +0000
-73.9806528768,POINT (-73.98065287680215 40.65638087385929),40.6563808739,04/28/2017 12:00:00 AM +0000
-73.7660997329,POINT (-73.76609973288858 40.74451005225482),40.7445100523,08/03/2017 12:00:00 AM +0000
-73.7163619885,POINT (-73.71636198851002 40.750007550874656),40.7500075509,05/19/2017 12:00:00 AM +0000
-73.7148583374,POINT (-73.71485833737124 40.74903275452358),40.7490327545,05/19/2017 12:00:00 AM +0000
-73.8653363455,POINT (-73.86533634553864 40.88686958609202),40.8868695861,11/16/2017 12:00:00 AM +0000
-74.0787086232,POINT (-74.07870862315278 40.6340659495058),40.6340659495,09/10/2017 12:00:00 AM +0000
-74.0779430319,POINT (-74.07794303187048 40.637782302653925),40.6377823027,09/10/2017 12:00:00 AM +0000
-74.0779822368,POINT (-74.07798223684372 40.63786437549852),40.6378643755,09/10/2017 12:00:00 AM +0000
-74.0066499828,POINT (-74.00664998280897 40.67280297496132),40.672802975,12/01/2017 12:00:00 AM +0000
-74.0050790062,POINT (-74.00507900617973 40.67236383777929),40.6723638378,12/01/2017 12:00:00 AM +0000
-73.9133347475,POINT (-73.91333474749543 40.79999699204005),40.799996992,12/20/2017 12:00:00 AM +0000
-73.8639153717,POINT (-73.86391537165483 40.889736226766104),40.8897362268,11/16/2017 12:00:00 AM +0000
-73.8689076531,POINT (-73.86890765312084 40.87871890332932),40.8787189033,04/13/2018 12:00:00 AM +0000
-73.9582917708,POINT (-73.95829177084566 40.669778943530716),40.6697789435,06/01/2017 12:00:00 AM +0000
-74.0027297973,POINT (-74.00272979728726 40.70719859808406),40.7071985981,04/24/2018 12:00:00 AM +0000
-73.9201272971,POINT (-73.92012729711747 40.77948897170133),40.7794889717,12/07/2017 12:00:00 AM +0000
-73.9219900149,POINT (-73.92199001485986 40.777964109421156),40.7779641094,12/07/2017 12:00:00 AM +0000
-74.0150480732,POINT (-74.01504807322506 40.65436263860994),40.6543626386,05/28/2018 12:00:00 AM +0000
-73.9343351565,POINT (-73.93433515647675 40.75501548366785),40.7550154837,06/14/2018 12:00:00 AM +0000
-73.9031558818,POINT (-73.90315588178478 40.8865113996436),40.8865113996,06/07/2018 12:00:00 AM +0000
-73.9080186311,POINT (-73.90801863107578 40.882394921553484),40.8823949216,06/07/2018 12:00:00 AM +0000
-74.1360932462,POINT (-74.13609324618949 40.60243019643962),40.6024301964,06/08/2018 12:00:00 AM +0000
-73.7805319476,POINT (-73.78053194757982 40.77986119385073),40.7798611939,05/10/2018 12:00:00 AM +0000
-73.9021775487,POINT (-73.90217754872424 40.643783574162846),40.6437835742,07/03/2018 12:00:00 AM +0000
-74.0019988376,POINT (-74.00199883757938 40.733735698833904),40.7337356988,07/06/2018 12:00:00 AM +0000
-74.0012047477,POINT (-74.00120474769206 40.73384310986971),40.7338431099,07/06/2018 12:00:00 AM +0000
-73.9949214089,POINT (-73.99492140892134 40.75529240648602),40.7552924065,06/20/2018 12:00:00 AM +0000
-73.9352276453,POINT (-73.93522764527613 40.76952287502019),40.769522875,06/27/2018 12:00:00 AM +0000
-73.9799935261,POINT (-73.97999352614326 40.65203268622639),40.6520326862,08/29/2018 12:00:00 AM +0000
-73.9012355032,POINT (-73.90123550320708 40.87811603908956),40.8781160391,08/29/2018 12:00:00 AM +0000
-73.9902003801,POINT (-73.99020038011749 40.773874761019975),40.773874761,08/15/2018 12:00:00 AM +0000
-73.9103981463,POINT (-73.91039814631968 40.843465390512215),40.8434653905,09/26/2018 12:00:00 AM +0000
-73.9081195516,POINT (-73.90811955158867 40.88531390260947),40.8853139026,06/06/2018 12:00:00 AM +0000
-73.9090333165,POINT (-73.90903331645319 40.88548333252484),40.8854833325,06/06/2018 12:00:00 AM +0000
-73.8816088682,POINT (-73.88160886821548 40.63913063114704),40.6391306311,08/16/2018 12:00:00 AM +0000
-73.8436792273,POINT (-73.84367922726676 40.71976192410056),40.7197619241,09/19/2018 12:00:00 AM +0000
-73.8426236549,POINT (-73.84262365488524 40.71934889748841),40.7193488975,09/19/2018 12:00:00 AM +0000
-73.8415884867,POINT (-73.84158848670405 40.718890694371794),40.7188906944,09/19/2018 12:00:00 AM +0000
-73.8469643649,POINT (-73.84696436488746 40.72095893846613),40.7209589385,09/19/2018 12:00:00 AM +0000
-73.9247162117,POINT (-73.92471621171737 40.778554142703406),40.7785541427,03/01/2015 12:00:00 AM +0000
-73.9232982909,POINT (-73.92329829094544 40.77953159543905),40.7795315954,03/01/2015 12:00:00 AM +0000
-73.9219440983,POINT (-73.92194409831556 40.78063621390485),40.7806362139,03/01/2015 12:00:00 AM +0000
-73.9215629728,POINT (-73.92156297275244 40.781007236687145),40.7810072367,03/01/2015 12:00:00 AM +0000
-73.8617143809,POINT (-73.86171438089131 40.74502896022879),40.7450289602,09/20/2018 12:00:00 AM +0000
-74.0091193624,POINT (-74.00911936237735 40.63246392895486),40.632463929,07/27/2018 12:00:00 AM +0000
-73.9115037832,POINT (-73.91150378321774 40.65738220578409),40.6573822058,10/16/2018 12:00:00 AM +0000
-73.9557389256,POINT (-73.9557389255677 40.699927314236646),40.6999273142,10/05/2018 12:00:00 AM +0000
-73.860440173,POINT (-73.86044017301046 40.73406636697869),40.734066367,12/11/2018 12:00:00 AM +0000
-73.9074418584,POINT (-73.90744185840474 40.664377730787415),40.6643777308,10/10/2018 12:00:00 AM +0000
-73.8612826863,POINT (-73.86128268633324 40.7337158126733),40.7337158127,12/11/2018 12:00:00 AM +0000
-73.8842161973,POINT (-73.88421619732952 40.85069734531438),40.8506973453,01/08/2019 12:00:00 AM +0000
-73.9272849129,POINT (-73.9272849128753 40.83214492757389),40.8321449276,10/31/2018 12:00:00 AM +0000
-73.9322446436,POINT (-73.93224464358514 40.7720433706795),40.7720433707,01/23/2019 12:00:00 AM +0000
-73.9906092008,POINT (-73.99060920075405 40.77317435602566),40.773174356,08/15/2018 12:00:00 AM +0000
-74.0348498159,POINT (-74.03484981590731 40.6384721710728),40.6384721711,04/17/2019 12:00:00 AM +0000
-73.9316971519,POINT (-73.93169715188775 40.606714080962895),40.606714081,05/09/2019 12:00:00 AM +0000
-74.005890162,POINT (-74.00589016202676 40.67839720807319),40.6783972081,05/24/2019 12:00:00 AM +0000
-74.0055627346,POINT (-74.00556273464169 40.679076177168575),40.6790761772,05/24/2019 12:00:00 AM +0000
-73.8589895293,POINT (-73.85898952925686 40.83922640983507),40.8392264098,06/28/2019 12:00:00 AM +0000
-73.8605374858,POINT (-73.86053748576337 40.837403308975496),40.837403309,06/28/2019 12:00:00 AM +0000
-73.8584260674,POINT (-73.85842606739476 40.83949480986401),40.8394948099,06/28/2019 12:00:00 AM +0000
-73.8575965443,POINT (-73.85759654428529 40.839909495659064),40.8399094957,06/28/2019 12:00:00 AM +0000
-73.8568566492,POINT (-73.85685664918661 40.84017835351656),40.8401783535,06/28/2019 12:00:00 AM +0000
-73.8560158061,POINT (-73.85601580609736 40.84038347513172),40.8403834751,06/28/2019 12:00:00 AM +0000
-73.8552993596,POINT (-73.85529935964075 40.84048785625295),40.8404878563,06/28/2019 12:00:00 AM +0000
-73.8626708207,POINT (-73.86267082073367 40.84040533496382),40.840405335,06/28/2019 12:00:00 AM +0000
-73.8620483556,POINT (-73.86204835562913 40.83977295392212),40.8397729539,06/28/2019 12:00:00 AM +0000
-73.8615525354,POINT (-73.86155253542061 40.83934688162968),40.8393468816,06/28/2019 12:00:00 AM +0000
-73.8567369298,POINT (-73.85673692975855 40.8365066313913),40.8365066314,06/28/2019 12:00:00 AM +0000
-73.8642530015,POINT (-73.86425300153019 40.884029037338266),40.8840290373,07/19/2019 12:00:00 AM +0000
-73.8852391899,POINT (-73.88523918989904 40.817068202167796),40.8170682022,06/15/2019 12:00:00 AM +0000
-73.9416666619,POINT (-73.94166666186236 40.748235621085364),40.7482356211,08/06/2019 12:00:00 AM +0000
-73.9260220678,POINT (-73.9260220677678 40.77573042670064),40.7757304267,08/12/2019 12:00:00 AM +0000
-73.8974911134,POINT (-73.89749111340976 40.842067109760514),40.8420671098,08/05/2019 12:00:00 AM +0000
-73.9606871943,POINT (-73.96068719434962 40.81419127850846),40.8141912785,07/12/2019 12:00:00 AM +0000
